,0
0,Bulk Carrier
1,Container Ship
2,General Cargo
3,Oil Products Tanker
4,Tug/Supply Vessel
5,Passenger Ship
6,Oil/Chemical Tanker
7,Crude Oil Tanker
8,Tug
9,Towing Vessel
10,Unspecified
11,Reefer
12,Cargo
13,Tanker
14,Offshore Supply Ship
15,Special Vessel
16,Vehicles Carrier
17,Wood Chips Carrier
18,Ro-Ro Cargo
19,Passenger
20,Research/Survey Vessel
21,Icebreaker
22,Fishing Vessel
23,Heavy Load Carrier
24,Cargo/Containership
25,"Inland, Unknown"
26,Chemical Tanker
27,LPG Tanker
28,Yacht
29,Passengers Ship
30,Self Discharging Bulk Carrier
31,Sailing Vessel
32,Military Ops
33,Floating Storage/Production
34,Other
35,Trawler
36,
37,Heavy Lift Vessel
38,Deck Cargo Ship
