,vessel,median_length,median_speed,mean_speed,min_speed,max_speed,count,clusters
0,Bulk Carrier,199.9,114.0,106.9330493772839,0,887,1229533,1
1,Cargo,199.0,116.0,104.02906757266894,0,196,10596,1
2,Cargo/Containership,217.0,214.0,178.30909775852325,45,251,5309,1
3,Chemical Tanker,174.43,124.0,113.80030174187354,0,160,7291,4
4,Container Ship,262.18,193.0,181.22674055247697,1,957,48002,3
5,Crude Oil Tanker,255.9,63.0,68.48114498050185,0,913,146937,3
6,Fishing Vessel,27.24,67.0,62.39899805176733,0,129,17965,2
7,General Cargo,179.97,120.0,114.9680498756644,0,611,84851,4
8,Heavy Load Carrier,169.4,134.0,122.25690607734806,15,158,1086,4
9,Icebreaker,121.62,138.0,131.70126582278482,56,165,395,0
10,"Inland, Unknown",0.0,63.0,59.91843971631206,1,127,1410,2
11,LPG Tanker,225.23,130.0,110.22572931611668,0,177,8364,1
12,Offshore Supply Ship,41.46,43.0,50.38429829492224,1,154,5337,2
13,Oil Products Tanker,228.08,22.0,59.04817242078238,0,191,29602,1
14,Oil/Chemical Tanker,183.0,111.0,87.09378380380825,0,592,134970,4
15,Passenger,28.0,105.0,107.77695716395864,0,574,677,2
16,Passenger Ship,289.52,181.0,181.93001651527663,17,235,4844,3
17,Reefer,150.0,154.0,153.179037111334,16,189,1994,4
18,Research/Survey Vessel,71.5,9.0,32.10379681223273,0,204,38585,0
19,Ro-Ro Cargo,199.52,141.0,104.43727189781022,0,195,4384,1
20,Special Vessel,63.6,78.0,68.3758389261745,0,173,3278,0
21,Tanker,228.0,123.0,110.9832685482508,3,571,5917,1
22,Towing Vessel,36.58,78.0,78.9439413540319,0,115,16233,2
23,Tug,37.03,95.0,90.54729331675067,0,858,30554,2
24,Tug/Supply Vessel,73.2,65.0,74.69860724233983,3,152,1795,0
25,Unspecified,28.0,110.0,105.97968397291196,2,230,886,2
26,Vehicles Carrier,199.94,148.0,139.15047970858345,0,933,97455,1
27,Wood Chips Carrier,199.96,123.0,119.30620046991358,4,156,25111,1
28,Yacht,47.87,128.0,119.78418329637842,8,158,1353,2
